type,title,location,site_visit_date,ROM,solicitationNumber,department,typeOfSetAsideDescription,responseDeadLine,postedDate,naicsCode,award,uiLink,baseType,archiveDate,organizationType,fullParentPathCode,active,fullParentPathName,Queried_NAICS,typeOfSetAside,additionalInfoLink,resourceLinks
Solicitation,Z--WATER TOWER REFURBISHMENT,Not Specified,,$45.0 million,140G0126Q0123,,Total Small Business Set-Aside (FAR 19.5),2026-05-27T10:00:00-07:00,2026-05-21,237110,,https://sam.gov/workspace/contract/opp/2674335730314335a54b832810b5b862/view,Solicitation,2026-06-11,OFFICE,014.1434.140G01,Yes,"INTERIOR, DEPARTMENT OF THE.US GEOLOGICAL SURVEY.OFC OF ACQUSITION  GRANTS-NATIONAL",237110,SBA,,
Solicitation,"Weeks Brook Bridge Railing Repair, Franklin Falls Dam, Sanbornton, NH",Not Specified,,"$25,000 and $100,000 | $25,000 | $100,000",W912WJ26QA100,,Total Small Business Set-Aside (FAR 19.5),2026-06-08T17:00:00-04:00,2026-06-02,237310,,https://sam.gov/workspace/contract/opp/1146e0e57d90422097c9fe8ad4a6a15b/view,Solicitation,2026-06-23,OFFICE,021.2100.USACE.NAD.NAE.W912WJ,Yes,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST NEW ENGLAND.W2SD ENDIST NEW ENGLAND,237310,SBA,,
Solicitation,USDA NRCS-Ohio EWP Green Township - Blessing Road,"Patriot, Ohio",,,12FPC326B0003,,Total Small Business Set-Aside (FAR 19.5),2026-05-19T13:00:00-04:00,2026-05-18,237990,,https://sam.gov/workspace/contract/opp/61c1c115e72645fa896388ce49b09659/view,Solicitation,2026-06-03,OFFICE,012.12D0.12FPAC,Yes,"AGRICULTURE, DEPARTMENT OF.FARM PRODUCTION AND CONSERVATION BUSINESS CENTER.FPAC BUS CNTR-ACQ DIV",237990,SBA,,
Solicitation,RFQ 6923G226Q000016 Yocum Sailing removal & installation,"Kings Point, New York",,,6323G226Yocum,,Total Small Business Set-Aside (FAR 19.5),2026-05-26T14:00:00-04:00,2026-05-19,237120,,https://sam.gov/workspace/contract/opp/959f49eff3c24de6987410eb37827a40/view,Solicitation,2026-12-12,OFFICE,069.6938.693JF7,Yes,"TRANSPORTATION, DEPARTMENT OF.MARITIME ADMINISTRATION.693JF7 DOT  MARITIME ADMINISTRATION",237120,SBA,,
Solicitation,Z--REPLACE DAMAGED FIBER LINE,Not Specified,,"$45.0 million | $25,000",140P8526Q0053,,Total Small Business Set-Aside (FAR 19.5),2026-05-28T12:00:00-07:00,2026-05-18,237130,,https://sam.gov/workspace/contract/opp/2081b3df81f9451cb4f8406f8d11c42c/view,Solicitation,2026-06-12,OFFICE,014.1443.140P85,Yes,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.PWR SF/SEA MABO(85000)",237130,SBA,,
Solicitation,Fire Prevention System Inspection & Maintenance Services,"Lebanon, Kentucky",,,36C24926Q0222,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-05-29T17:00:00-04:00,2026-05-18,561210,,https://sam.gov/workspace/contract/opp/8962dace88004f80a0eeba19d8279b93/view,Solicitation,2026-06-13,OFFICE,036.3600.36C249,Yes,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.249-NETWORK CONTRACT OFFICE 9 (36C249)",561210,SDVOSBC,,
Solicitation,Z--NACE REVITALIZE PARK ACCESS POINTS,Not Specified,,,140P1326Q0024,,Total Small Business Set-Aside (FAR 19.5),2026-06-02T12:00:00-04:00,2026-05-19,237310,,https://sam.gov/workspace/contract/opp/2e9d817a9a3f47d4b691aaa73d71db2c/view,Solicitation,2026-06-17,OFFICE,014.1443.140P13,Yes,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.IMR SANTA FE(12100)",237310,SBA,,
Solicitation,"T-Rail Replacement With 3/8"" Safety Cable",Not Specified,,,89503426QWA001268,,Total Small Business Set-Aside (FAR 19.5),2026-06-05T16:30:00-05:00,2026-05-19,237130,,https://sam.gov/workspace/contract/opp/0eee78a8a97d47df954ce55c4c6c2fef/view,Solicitation,2026-06-20,OFFICE,089.8900.895034,Yes,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-UPPER GREAT PLAINS REGION",237130,SBA,,
Solicitation,656-26-702  EHRM DDPO 2.0,"Saint Cloud, Minnesota",,,36C26326B0028-0001,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-08T10:00:00-05:00,2026-05-19,238210,,https://sam.gov/workspace/contract/opp/c01f679d078545f6913864c0f55675d4/view,Presolicitation,2026-12-31,OFFICE,036.3600.36C263,Yes,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NETWORK CONTRACT OFFICE 23 (36C263)",238210,SDVOSBC,,
Solicitation,Apron Striping - Stratton Air National Guard Base,"Schenectady, New York",,,W50S8J26QA015,,Total Small Business Set-Aside (FAR 19.5),2026-06-09T12:00:00-04:00,2026-06-01,237310,,https://sam.gov/workspace/contract/opp/ae4c17c4ffc247c4bea8aa397414204d/view,Solicitation,2026-06-24,OFFICE,021.2100.NGB.JFHQ USPFO NY.USPFO NY PROC.W50S8J,Yes,DEPT OF DEFENSE.DEPT OF THE ARMY.NATIONAL GUARD BUREAU.JFHQ USPFO NY.USPFO NY PROCUREMENT.W7NR USPFO ACTIVITY NYANG 109,237310,SBA,,
Solicitation,Tainter Gates Sandblasting,"Del Rio, Texas",,$1 Million to $5 Million | $1 Million | $5 Million,191BWC26B0001,,Total Small Business Set-Aside (FAR 19.5),2026-06-09T12:00:00-06:00,2026-05-16,237990,,https://sam.gov/workspace/contract/opp/9eac1ebb72a9483198b1e88be2ce9f7d/view,Solicitation,2026-06-24,OFFICE,019.19BM.199401,Yes,INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO.INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO.INTERNAT BOUNDARY AND WATER COMM,237990,SBA,,
Solicitation,618-26-702 EHRM Install DDPO 2,"Minneapolis, Minnesota",,,36C26326B0030-0002,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-09T10:00:00-05:00,2026-05-19,238210,,https://sam.gov/workspace/contract/opp/b1c046961ee946d8a2e660e7f5adb13e/view,Presolicitation,2026-12-31,OFFICE,036.3600.36C263,Yes,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NETWORK CONTRACT OFFICE 23 (36C263)",238210,SDVOSBC,,
Solicitation,"Bayou Teche, East and West Calumet Floodgate Approach Channels, Maintenance Dredging, St. Mary Parish, Louisiana ED 26-005","New Orleans, Louisiana",,"$500,000 | $1,000,000",W912P926BA072,,Total Small Business Set-Aside (FAR 19.5),2026-06-16T11:00:00-04:00,2026-05-22,237990,,https://sam.gov/workspace/contract/opp/dc6f890d838b4d159ec1665968d95e3d/view,Solicitation,2026-07-01,OFFICE,021.2100.USACE.MVD.MVN.W912P8,Yes,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION MISSISSIPPI VALLEY.ENDIST NEW ORLEANS.W07V ENDIST NEW ORLEANS,237990,SBA,,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/05cf66365f8047eb95b730e6da75fa75/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3720efb4b75c451bb017bb47ae5e1301/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4bc1eadb85684581a2e9daa69b726a54/download']"
Solicitation,SUISUN BAY CHANNEL AND NY SOLUGH FY26 MAINTENANCE DREDGING PROJECT,Not Specified,,"$1,000,000 and $5,000,000 | Estimated Cost Range is between $1,000,000 and $5,000,000 | $37,000,000",W912P726BA003,,Total Small Business Set-Aside (FAR 19.5),2026-06-17T11:30:00-07:00,2026-05-18,237990,,https://sam.gov/workspace/contract/opp/1af64a5cb89e446281eeb46d512b03db/view,Solicitation,2026-07-02,OFFICE,021.2100.USACE.SPD.SPN.W912P7,Yes,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH PACIFIC.ENDIST SAN FRANCISCO.W075 ENDIST SAN FRAN,237990,SBA,,
Solicitation,Robins AFB Paving Multi-Award IDIQ,"Warner Robins, Georgia",,$45M,FA850126R0004,,Total Small Business Set-Aside (FAR 19.5),2026-06-18T16:00:00-04:00,2026-05-26,237310,,https://sam.gov/workspace/contract/opp/761cde72114a49c9b85da8e49ea68d02/view,Solicitation,2026-07-03,OFFICE,057.5700.AFMC.AFSC.FA8501,Yes,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE SUSTAINMENT CENTER.FA8501  OPL CONTRACTING AFSC/PZIO,237310,SBA,,
Solicitation,EO 14398 - GAOA - National Elk Refuge Electrical R,Not Specified,,,140FGA26Q0029,,Total Small Business Set-Aside (FAR 19.5),2026-06-18T14:00:00-04:00,2026-05-18,238210,,https://sam.gov/workspace/contract/opp/c8208810e8b6461ab02a1be7459cc1a6/view,Solicitation,2026-07-03,OFFICE,014.1448.140FGA,Yes,"INTERIOR, DEPARTMENT OF THE.US FISH AND WILDLIFE SERVICE.FWS, GAOA",238210,SBA,,
Solicitation,James River Maintenance Dredging IDIQ,Not Specified,,,W9123626BA007,,Total Small Business Set-Aside (FAR 19.5),2026-06-22T14:00:00-04:00,2026-05-19,237990,,https://sam.gov/workspace/contract/opp/0c980ce1296d473f9d68e99a54e982c9/view,Solicitation,2026-07-07,OFFICE,021.2100.USACE.NAD.NAO.W91236,Yes,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST NORFOLK.W2SD ENDIST NORFOLK,237990,SBA,,
Solicitation,NM DEXTER NFHTC POND LINER 12B & 13B,Not Specified,,,140FC326Q0025,,Total Small Business Set-Aside (FAR 19.5),2026-06-24T10:00:00-07:00,2026-05-18,237990,,https://sam.gov/workspace/contract/opp/a3756cc426fe4610b5308ea31603138a/view,Solicitation,2026-07-09,OFFICE,014.1448.140FC3,Yes,"INTERIOR, DEPARTMENT OF THE.US FISH AND WILDLIFE SERVICE.FWS, CONSTRUCTION A/E TEAM 3",237990,SBA,,
Special Notice,Notice of Intent to Award a BPA Call Order,Minnesota,,,,,Total Small Business Set-Aside (FAR 19.5),2026-06-08T17:00:00-05:00,2026-06-01,237310,,https://sam.gov/workspace/contract/opp/81d6d4c4e9bd49a69c2a81c1b4f051d6/view,Special Notice,2026-06-08,OFFICE,012.12C2.124455,Yes,"AGRICULTURE, DEPARTMENT OF.FOREST SERVICE.USDA-FS, CSA EAST 13",237310,SBA,,
Presolicitation,Mud Mountain Dam Bridge Pier Repair,Not Specified,,"$1,000,000 and $5,000,000 | $1,000,000 | $5,000,000",W912DW26RA018,,Total Small Business Set-Aside (FAR 19.5),2026-06-01T12:00:00-07:00,2026-05-18,237990,,https://sam.gov/workspace/contract/opp/11ce6bf9e07a478f807afd76660882d3/view,Presolicitation,2026-06-06,OFFICE,021.2100.USACE.NWD.NWS.W912DW,Yes,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTHWESTERN.ENDIST SEATTLE.W071 ENDIST SEATTLE,237990,SBA,,
Presolicitation,Northeast Region Construction Multiple Award Task Order Contract (MATOC),Not Specified,,"$50,000 to $3,000,000 | $500,000 to $1,000,000 | $60,000,000.00",693C73-26-R-000047,,Total Small Business Set-Aside (FAR 19.5),2026-07-07T14:00:00-04:00,2026-05-18,237310,,https://sam.gov/workspace/contract/opp/45e5705db00c431dac6738345b3d77f1/view,Presolicitation,2026-10-31,OFFICE,069.6925.693C73,Yes,"TRANSPORTATION, DEPARTMENT OF.FEDERAL HIGHWAY ADMINISTRATION.693C73 EASTERN FED LANDS DIVISION",237310,SBA,,
Presolicitation,Z1DA--Replace Electrical Primary Distribution  515-15-117,"Battle Creek, MI",,"$10,000,000.00 and $20,000,000.00 | $19.0 million | $10,000,000.00",36C25025B0047,,Service-Disabled Veteran-Owned Small Business Set Aside,2025-09-30T14:00:00-04:00,2026-05-18,238210,{'awardee': {}},https://sam.gov/workspace/contract/opp/0333e63dfc1a45d791562d9cd85976f2/view,Presolicitation,2026-06-07,OFFICE,036.3600.36C250,Yes,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.250-NETWORK CONTRACT OFFICE 10 (36C250)",238210,SDVOSBC,,
Presolicitation,Z--SACRAMENTO RIVER TRAIL REPAVING GAOA,Not Specified,,"$1,000,000.00 and $5,000,000.00 | $1,000,000.00 | $5,000,000.00",140L1226R0005,,Total Small Business Set-Aside (FAR 19.5),2026-05-30T17:00:00-07:00,2026-05-15,237310,,https://sam.gov/workspace/contract/opp/01a493e50c0a47e897504ff06f1588f8/view,Presolicitation,2026-06-14,OFFICE,014.1422.140L12,Yes,"INTERIOR, DEPARTMENT OF THE.BUREAU OF LAND MANAGEMENT.CALIFORNIA STATE OFFICE",237310,SBA,,
Presolicitation,Z--READING ISLAND PAVING REPAIRS_REDDING,Not Specified,,"$500,000.00 and $1,000,000.00 | $500,000.00 | $1,000,000.00",140L1226R0006,,Total Small Business Set-Aside (FAR 19.5),2026-06-01T17:00:00-07:00,2026-05-15,237310,,https://sam.gov/workspace/contract/opp/59c2f930394948198e9da76f94b20a24/view,Presolicitation,2026-06-16,OFFICE,014.1422.140L12,Yes,"INTERIOR, DEPARTMENT OF THE.BUREAU OF LAND MANAGEMENT.CALIFORNIA STATE OFFICE",237310,SBA,,
Presolicitation,"Drainage Basin Installation, Mansfield Hollow Dam, Mansfield, CT",Not Specified,,"$25,000 and $100,000 | $25,000 | $100,000",W912WJ26QA113,,Total Small Business Set-Aside (FAR 19.5),,2026-05-19,237990,,https://sam.gov/workspace/contract/opp/cbf75c9c843c45bfb30c868187216f07/view,Presolicitation,2026-06-07,OFFICE,021.2100.USACE.NAD.NAE.W912WJ,Yes,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST NEW ENGLAND.W2SD ENDIST NEW ENGLAND,237990,SBA,,
Presolicitation,Y--MI-SENEY NWR-DC DAM DECOMMISIONING,Not Specified,,"$500,000 and $1,000,000 | $45.0 million | $500,000",140FGA26R0021,,Total Small Business Set-Aside (FAR 19.5),,2026-05-19,237990,,https://sam.gov/workspace/contract/opp/1349816a518a4ac793672cfcb55f94ba/view,Presolicitation,2026-06-30,OFFICE,014.1448.140FGA,Yes,"INTERIOR, DEPARTMENT OF THE.US FISH AND WILDLIFE SERVICE.FWS, GAOA",237990,SBA,,
Solicitation,Stockbridge Parking Area and Roads,"Oneida, New York",,,FA875126Q0007,,Total Small Business Set-Aside (FAR 19.5),2026-06-04T15:00:00-04:00,2026-05-20,237310,,https://sam.gov/workspace/contract/opp/ba7c81427edd4e04b4522ea7fb6ff8e1/view,Solicitation,2026-06-19,OFFICE,057.5700.AFMC.AFRL.FA8751,Yes,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE RESEARCH LABORATORY.FA8751  AFRL RIKO,237310,SBA,,
Solicitation,Z--GAOA BAR ISLAND DAM RECONSTRUCTION,Not Specified,,,140L0626R0006,,Total Small Business Set-Aside (FAR 19.5),2026-06-08T14:00:00-06:00,2026-05-26,237990,,https://sam.gov/workspace/contract/opp/cd568153c48c4d18a5eeb34934e36dda/view,Solicitation,2026-06-23,OFFICE,014.1422.140L06,Yes,"INTERIOR, DEPARTMENT OF THE.BUREAU OF LAND MANAGEMENT.NATIONAL OPERATIONS CENTER",237990,SBA,,
Solicitation,61--Power System Generator replacements ,Not Specified,,,89503126QWA000404,,Total Small Business Set-Aside (FAR 19.5),2026-05-28T17:00:00-07:00,2026-05-21,238210,,https://sam.gov/workspace/contract/opp/fd3ba844957e4659b7fa1254b18f115d/view,Solicitation,2026-06-12,OFFICE,089.8900.895031,Yes,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-DESERT SOUTHWEST REGION",238210,SBA,,
Solicitation,"Z--Rehab Power and Cooling Systems, Pinnalces NP",Paicines,,,140P8426R0002,,Total Small Business Set-Aside (FAR 19.5),2026-06-19T15:00:00-07:00,2026-05-29,238210,,https://sam.gov/workspace/contract/opp/c0afff0ef7724433a86569c28e3dfaa1/view,Solicitation,2026-07-04,OFFICE,014.1443.140P84,Yes,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.PWR PORE MABO (84000)",238210,SBA,,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/1ed94ea5059c4bf4b93987d7a0ef51d5/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/28109f9a3414471fa52fcac2ab49ffc0/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/34a7663febee47c1a56f087b98d7133b/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3f15007400914534b89e3c1d17b310e4/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/434e93f6a2494eddb4da60554ed512f0/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4511923c1d0246b78efea52028e2204e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/67fa6424010e499d8f38e94598b0692e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6f7e4073448744039f7a66e15425ef99/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7ac9fc141dc3435ea66f219c7691e8e8/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/81dc9f121e814232b7d21670f78611d0/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/94d17f6b6790479bbb4dba44f5654581/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/9534081c1ba84e808f6fd47391263d93/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ae9bbc50b06c42058513be1128c151be/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b20505adc0724bd4a9d63e93fdd0f1bb/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/bfcad2744528441c8149911b0db6659e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c849351a4aeb4b1a84f58077915204db/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e660c6d20492429e8dc32f12ff46496c/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ec21669182604fea980cf165602b41fd/download']"
Solicitation,Z--Provide Maintenance of Unpaved Roads - Big South F,"Oneida, Tennessee",,,140P5126R0008,,Women-Owned Small Business,2026-06-06T13:00:00-04:00,2026-05-20,237310,,https://sam.gov/workspace/contract/opp/bf21625475d847d38ebc0dacf3b14885/view,Solicitation,2026-06-20,OFFICE,014.1443.140P51,Yes,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.SER EAST MABO(51000)",237310,WOSB,,
Solicitation,180th FW Lift Station Repair,"Swanton, Ohio",,,W50S8S26QA009,,Total Small Business Set-Aside (FAR 19.5),2026-06-08T16:00:00-04:00,2026-05-20,237110,,https://sam.gov/workspace/contract/opp/5aa5e66aa5264bd28f17e73c8941f15e/view,Solicitation,2026-06-23,OFFICE,021.2100.NGB.JFHQ USPFO OH.USPFO OH PROC.W50S8S,Yes,DEPT OF DEFENSE.DEPT OF THE ARMY.NATIONAL GUARD BUREAU.JFHQ USPFO OH.USPFO OH PROCUREMENT.W7NU USPFO ACTIVITY OHANG 180,237110,SBA,,
Solicitation,Fort Riley Tank CoatingsRepair,"Fort Riley, Kansas",,,W9128F26RA063,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-22T14:00:00-05:00,2026-05-29,237120,,https://sam.gov/workspace/contract/opp/d5e8022c32484c18af40ea0b80038cd7/view,Solicitation,2026-07-31,OFFICE,021.2100.USACE.NWD.NWO.W9128F,Yes,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTHWESTERN.ENDIST OMAHA.W071 ENDIST OMAHA,237120,SDVOSBC,,
Solicitation,23 STS HPTC Surround Sound Installation,"Hurlburt Field, Florida",,,FA441726Q0099,,Total Small Business Set-Aside (FAR 19.5),2026-06-23T14:00:00-05:00,2026-05-20,238210,,https://sam.gov/workspace/contract/opp/5805c0876c824826971513eea4344ad1/view,Sources Sought,2026-07-08,OFFICE,057.5700.AFSOC.FA4417,Yes,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE SPECIAL OPERATIONS COMMAND.FA4417 1 SOCONS,238210,SBA,,
Presolicitation,Y1NE| PRESOLICIATION | 36C25626R0015 | CONSTRUCT NEW WATER STORAGE FACILITY,"Fayetteville, Arkansas",,"$10,000,000 and $20,000,000 | $10,000,000 | $20,000,000",36C25626R0015_PRESOL_CONSTRUCT_NEW_WATER_STORAGE_FACILITY,,SDVOSB Sole Source,2026-06-05T11:00:00-05:00,2026-05-21,237110,,https://sam.gov/workspace/contract/opp/9e4a758c5a444d119ffb3d29f43dde65/view,Presolicitation,2026-06-20,OFFICE,036.3600.36C256,Yes,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.256-NETWORK CONTRACT OFFICE 16 (36C256)",237110,SDVOSBS,,
Presolicitation,Unidirectional Flushing-Pre-Solicitation,Not Specified,,$45million,W56ZTN26BA001,,Total Small Business Set-Aside (FAR 19.5),2026-06-05T13:00:00-04:00,2026-05-21,237110,,https://sam.gov/workspace/contract/opp/910e1e50e98b4cbf82e9c2f7f037b829/view,Presolicitation,2026-06-19,OFFICE,021.2100.AMC.ACC.ACC-CTRS.ACC-APG.W56ZTN,Yes,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.ACC-CTRS.ACC-APG.W6QK ACC-APG DIR,237110,SBA,,
Presolicitation,Z1DZ--American Samoa CBOC Maintenance and Repair for VA Pacific  Islands Health Care System,Not Specified,,,36C26126Q0688,,Total Small Business Set-Aside (FAR 19.5),2026-06-05T15:00:00-07:00,2026-05-19,561210,{'awardee': {}},https://sam.gov/workspace/contract/opp/17e588dd87a44917849783a647fb3cf1/view,Presolicitation,2026-08-04,OFFICE,036.3600.36C261,Yes,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.261-NETWORK CONTRACT OFFICE 21 (36C261)",561210,SBA,,
Presolicitation,FMC Lexington Electrical Bore 26Z1AZ3,"Lexington, Kentucky",,,15B10926Q00000013,,Total Small Business Set-Aside (FAR 19.5),2026-06-08T14:00:00-04:00,2026-05-21,238210,,https://sam.gov/workspace/contract/opp/aab7f31e173a4456a2f9c20dca26fa41/view,Presolicitation,2026-06-23,OFFICE,015.1540.15B109,Yes,"JUSTICE, DEPARTMENT OF.FEDERAL PRISON SYSTEM / BUREAU OF PRISONS.FMC LEXINGTON",238210,SBA,,
Presolicitation,"HOUSTON SHIP CHANNEL, TEXAS, PLACEMENT AREA 14 DIKE RAISE",Not Specified,,,W912HY26BA030,,Total Small Business Set-Aside (FAR 19.5),,2026-05-21,237990,,https://sam.gov/workspace/contract/opp/75835d728abf4ac2866979d2143fdd64/view,Presolicitation,2027-05-21,OFFICE,021.2100.USACE.SWD.SWG.W912HY,Yes,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTHWESTERN.ENDIST GALVESTON.W076 ENDIST GALVESTON,237990,SBA,,
Presolicitation,RENO BOTTOMS HREP - STAGE 2 - ICE HAUL SLOUGH,Not Specified,,,W912ES26BA013,,Total Small Business Set-Aside (FAR 19.5),,2026-05-20,237990,,https://sam.gov/workspace/contract/opp/31acca16d43e43019817256bb9a56816/view,Presolicitation,2026-06-19,OFFICE,021.2100.USACE.MVD.MVP.W912ES,Yes,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION MISSISSIPPI VALLEY.ENDIST ST PAUL.W07V ENDIST ST PAUL,237990,SBA,,
Solicitation,Oldmans Dredged Material Placement Facility (DMPF) Dike Raising Construction,Not Specified,,,W912BU26RA013,,Total Small Business Set-Aside (FAR 19.5),2026-06-03T13:00:00-04:00,2026-05-28,237990,,https://sam.gov/workspace/contract/opp/4fa9dd96adbb4e07831e1b20a5b4e029/view,Solicitation,2027-05-28,OFFICE,021.2100.USACE.NAD.NAP.W912BU,Yes,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST PHILADELPHIA.W2SD ENDIST PHILADELPHIA,237990,SBA,,
Solicitation,VA-HARRISON LAKE NFH-REPL ELECTRICAL VC,Not Specified,,,140FC226Q0032,,Total Small Business Set-Aside (FAR 19.5),2026-06-11T15:00:00-04:00,2026-05-22,238210,,https://sam.gov/workspace/contract/opp/61583b0cbf734f1e87be8ab8ab8fdc6d/view,Solicitation,2026-06-26,OFFICE,014.1448.140FC2,Yes,"INTERIOR, DEPARTMENT OF THE.US FISH AND WILDLIFE SERVICE.FWS, CONSTRUCTION A/E TEAM 2",238210,SBA,,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e34b614ebddb4a51ab85487ff44ecdd6/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f8ead23e8d8641a293d6deadd5703a71/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/feada84178544afcb5cdf9a902a798c5/download']"
Solicitation,"Z--Conlon Creek Culvert Removal & Restoration, GOGA",Not Specified,,,140P8626R0003,,Total Small Business Set-Aside (FAR 19.5),2026-06-22T12:00:00-07:00,2026-05-26,237990,,https://sam.gov/workspace/contract/opp/9f7efa3b95cb4e16a2f76788cd52c47f/view,Solicitation,2026-07-07,OFFICE,014.1443.140P86,Yes,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.PWR GOGA(86000)",237990,SBA,,
Solicitation,"Deer Island Ecosystem Restoration, Phase 1 Deer Island, MS (Harrison County)","Biloxi, Mississippi",,,W9127826RA046,,Total Small Business Set-Aside (FAR 19.5),2026-07-07T14:00:00-05:00,2026-05-28,237990,,https://sam.gov/workspace/contract/opp/5113d8e722fb48468d830af26e209483/view,Solicitation,2026-07-22,OFFICE,021.2100.USACE.SAD.SAM.W91278,Yes,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH ATLANTIC.ENDIST MOBILE.W074 ENDIST MOBILE,237990,SBA,,
Presolicitation,OHARNG Tactical Vehicle Maneuver Lane Improvement at Camp James A. Garfield Joint Military Training Center (CJAG),"Ravenna, Ohio",,"$500,000 and $1,000,000 | $45,000,000 | $500,000",W91364-26-B-A001,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-08T12:00:00-04:00,2026-05-22,237990,,https://sam.gov/workspace/contract/opp/fff85f25f13040f3b9c673a1179c22d1/view,Sources Sought,2026-06-23,OFFICE,021.2100.NGB.JFHQ USPFO OH.USPFO OH PROC.W91364,Yes,DEPT OF DEFENSE.DEPT OF THE ARMY.NATIONAL GUARD BUREAU.JFHQ USPFO OH.USPFO OH PROCUREMENT.W7NU USPFO ACTIVITY OH ARNG,237990,SDVOSBC,,['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e5559f297f2948e2a67f182abf4e7817/download']
