type,title,location,site_visit_date,ROM,solicitationNumber,department,typeOfSetAsideDescription,responseDeadLine,postedDate,naicsCode,Queried_NAICS,fullParentPathCode,archiveDate,fullParentPathName,award,baseType,active,typeOfSetAside,additionalInfoLink,organizationType,uiLink,resourceLinks
Solicitation,99CES - PKA - WT16747339 - Install Lift Station Disconnect B1730,Not Specified,,,FA486126Q0010,,Total Small Business Set-Aside (FAR 19.5),2026-06-03T14:00:00-07:00,2026-05-28,238210,238210,057.5700.ACC.FA4861,2027-05-28,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR COMBAT COMMAND.FA4861  99 CONS LGC,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/45614b4595a04e7eb4447dcf0dbcb028/view,
Solicitation,"Z--FOLS, Replace Alarm System & Electrical Panel","Larned, Kansas",,,140P6026Q0042,,Total Small Business Set-Aside (FAR 19.5),2026-06-10T12:00:00-05:00,2026-06-04,238210,238210,014.1443.140P60,2026-06-25,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.MWR MIDWEST REGION(60000)",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/a8b38d24083e40948ac2a3ebc830e058/view,
Solicitation,Fiber Optic Cable B230 to B9511,Mississippi,,,FA302226Q0009,,Total Small Business Set-Aside (FAR 19.5),2026-06-16T10:00:00-05:00,2026-06-11,238210,238210,057.5700.AETC.FA3022,2026-07-01,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR EDUCATION AND TRAINING COMMAND.FA3022 14 CONS LGCA,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/d3862d815c1142bea675b00588ee6cde/view,
Solicitation,FY26 TCS MITD Enterprise Classroom Modernization Facilitator Support,Not Specified,,,W911S026QA004,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-12T17:00:00-05:00,2026-06-08,561210,561210,021.2100.AMC.ACC.MICC.FDO EUSTIS.W911S0,2027-06-08,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.MISSION INSTALLATION CONTRACTING COMMAND.FDO EUSTIS.W6QM MICC-FDO FT EUSTIS,,Solicitation,Yes,SDVOSBC,,OFFICE,https://sam.gov/workspace/contract/opp/25934e1bfbb446f18b86663a8dc291e1/view,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6436e2f37a73460eb69ed11370954554/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/83a86923bba8455e9ae3c0a8321848fc/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ad4b179272b94618afb51c481b112bbb/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e006a09ad12f4a08a2ef4c295daf5ffe/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e3b673bf33044cb7843ece93463939ec/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e768fc7e7fc6483187d147cac20088d0/download']"
Solicitation,Z--Verona-Great Falls 161KV Transmission Line Rebuild,Not Specified,,,89503426BWA000065,,Total Small Business Set-Aside (FAR 19.5),2026-06-15T15:30:00-05:00,2026-06-02,237130,237130,089.8900.895034,2026-06-30,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-UPPER GREAT PLAINS REGION",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/74f7a37dc0df42658c9a2b914e3e7b42/view,
Solicitation,Z2DA--519-20-200 VABS Replace Boiler Plant Solicitation 36C25726B0006,"Big Spring, Texas",,,36C25726B0006,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-16T10:00:00-05:00,2026-05-21,237130,237130,036.3600.36C257,2026-07-01,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.257-NETWORK CONTRACT OFFICE 17 (36C257)",,Solicitation,Yes,SDVOSBC,,OFFICE,https://sam.gov/workspace/contract/opp/d45a084a5c254e4e9d892c5fc641d479/view,
Solicitation, Base Operations Support (BOS) Services at Naval Air Station (NAS) Whiting Field and Outlying Areas,Not Specified,,,N6945026R0064,,Total Small Business Set-Aside (FAR 19.5),2026-06-25T14:00:00-04:00,2026-06-11,561210,561210,017.1700.NAVFAC.NAVFAC ATLANTIC CMD.NAVFAC SOUTHEAST.N69450,2027-06-11,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVFAC.NAVFAC ATLANTIC CMD.NAVFAC SOUTHEAST.NAVFACSYSCOM SOUTHEAST,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/dfd4d3bb762442419922173eba2ba345/view,
Solicitation,Anniston Army Depot (ANAD) Power Generation and Microgrid Project,"Anniston, Alabama",,,W912QR26RA033,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-29T14:00:00-04:00,2026-05-21,237130,237130,021.2100.USACE.LRD.LRL.W912QR,2026-07-14,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION GREAT LAKES AND OHIO.ENDIST LOUISVILLE.W072 ENDIST LOUISVILLE,,Solicitation,Yes,SDVOSBC,,OFFICE,https://sam.gov/workspace/contract/opp/2b46f2a95df24cd999eb1c10781149b5/view,
Special Notice,Special Notice: Forthcoming Solicitation for Building Control System (BCS) and Utility Control System (UCS) Maintenance and Support Services,Not Specified,,,SP470525R002026,,Total Small Business Set-Aside (FAR 19.5),2026-06-30T14:00:00-04:00,2026-05-13,561210,561210,097.97AS.DCSO,2026-07-15,DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DCSO,,Special Notice,Yes,SBA,,MAJOR COMMAND,https://sam.gov/workspace/contract/opp/d16a10f2aae140ed8a4e9cda6e6aedfc/view,
Presolicitation,178th Wing Base Microgrid Construction,"Springfield, Ohio",,"$5,000,000 and $10,000,000 | $45,000,000 | $5,000,000",WAAR209001,,Total Small Business Set-Aside (FAR 19.5),2026-06-01T16:00:00-04:00,2026-05-15,237130,237130,021.2100.NGB.JFHQ USPFO OH.USPFO OH PROC.W50S8Q,2026-06-16,DEPT OF DEFENSE.DEPT OF THE ARMY.NATIONAL GUARD BUREAU.JFHQ USPFO OH.USPFO OH PROCUREMENT.W7NU USPFO ACTIVITY OHANG 178,,Presolicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/220298d38ef045708cfa78346ed2dc5e/view,
Presolicitation,"J061--PROJECT 675-25-804, Bid-Build (BB) Install Water Tower  Projector System at Lake Nona","Orlando, Florida",,,36C24826R0107,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-15T11:00:00-04:00,2026-05-28,238210,238210,036.3600.36C248,2026-09-22,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.248-NETWORK CONTRACT OFFICE 8 (36C248)",{'awardee': {}},Presolicitation,Yes,SDVOSBC,,OFFICE,https://sam.gov/workspace/contract/opp/3372c74b2b3240c5bf7028e6312a3691/view,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/082ac47643b143a48a936068acbdff95/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0daf3e829f7c47e8a9875d1bc7722235/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0ef48a6b035640f0836998ed1954aee6/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/306c77ef390b47c48ed23a373cb48174/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3bafccda0f16407e9dcbac4d3ba8d4a7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4e68aa453c4d462ca78e72f63d2e848a/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/61b5ef0ed280481bba31d7c0c6353223/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/68f8fb29258a44e08f3b6d34b8aeb0cd/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8b9394163ec547b19967eb6c389db26c/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c8c8ea1838fa4c22b5a0360da65f5f68/download']"
Solicitation,"Cottonwood Substation Construction, Stage 02, Phas",Not Specified,,,89503326BWA000019,,Total Small Business Set-Aside (FAR 19.5),2026-07-06T15:00:00-07:00,2026-06-02,237130,237130,089.8900.895033,2026-07-21,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-SIERRA NEVADA REGION",,Presolicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/253b0b4b621a4fd5b2bba90f45463868/view,
Presolicitation,Electrical,"Richmond, Kentucky",,$19M,W519TC26R2024,,Total Small Business Set-Aside (FAR 19.5),2026-05-28T04:00:00-04:00,2026-05-12,238210,238210,021.2100.W22G1F,2026-06-12,DEPT OF DEFENSE.DEPT OF THE ARMY.W0L7 BLUE GRASS ARMY DEPOT,,Presolicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/bfeb7541a3eb4e679b0b7113a054de5c/view,
Presolicitation,J059--Triennial Electical Panel Maintenance and Survey,Not Specified,,,36C25226Q0359,,Total Small Business Set-Aside (FAR 19.5),2026-06-10T06:00:00-05:00,2026-05-14,238210,238210,036.3600.36C252,2026-08-09,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.252-NETWORK CONTRACT OFFICE 12 (36C252)",{'awardee': {}},Presolicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/7bfe99dd287d4db79cbfcaaa2eb19e36/view,['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/797e508f80f44d2b92282f030f0af6ec/download']
Solicitation,Carpenter Substation Stage 03 South Dakota,Not Specified,,,89503426BWA000066,,Total Small Business Set-Aside (FAR 19.5),2026-06-26T15:30:00-05:00,2026-05-26,237130,237130,089.8900.895034,2026-07-11,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-UPPER GREAT PLAINS REGION",,Presolicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/42c80e14a2284ef6bf65ccf297972ad8/view,
Solicitation,"Denison Substation Stage 10, Iowa",Not Specified,,,89503426BWA000067,,Total Small Business Set-Aside (FAR 19.5),2026-06-29T15:30:00-05:00,2026-05-28,237130,237130,089.8900.895034,2026-07-14,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-UPPER GREAT PLAINS REGION",,Presolicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/2a6188f892304b57a8208f6da244ab97/view,
Presolicitation,Y1DA--CON Project 674A4-21-108 - Upgrade Fire Alarm  System Campus Wide  (Waco) (VA-25-00021609),"Waco, Texas",,"$5,000,000,000 and $10,000,000 | $19 M | $5,000,000,000",36C25726B0007,,Service-Disabled Veteran-Owned Small Business Set Aside,,2026-05-15,238210,238210,036.3600.36C257,2026-06-10,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.257-NETWORK CONTRACT OFFICE 17 (36C257)",{'awardee': {}},Presolicitation,Yes,SDVOSBC,,OFFICE,https://sam.gov/workspace/contract/opp/634800be6f2942bfa32758b01d7fc8c0/view,
Solicitation,Z--WATER TOWER REFURBISHMENT,Not Specified,,$45.0 million,140G0126Q0123,,Total Small Business Set-Aside (FAR 19.5),2026-05-27T10:00:00-07:00,2026-05-21,237110,237110,014.1434.140G01,2026-06-11,"INTERIOR, DEPARTMENT OF THE.US GEOLOGICAL SURVEY.OFC OF ACQUSITION  GRANTS-NATIONAL",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/2674335730314335a54b832810b5b862/view,
Solicitation,"Weeks Brook Bridge Railing Repair, Franklin Falls Dam, Sanbornton, NH",Not Specified,,"$25,000 and $100,000 | $25,000 | $100,000",W912WJ26QA100,,Total Small Business Set-Aside (FAR 19.5),2026-06-08T17:00:00-04:00,2026-06-02,237310,237310,021.2100.USACE.NAD.NAE.W912WJ,2026-06-23,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST NEW ENGLAND.W2SD ENDIST NEW ENGLAND,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/1146e0e57d90422097c9fe8ad4a6a15b/view,
Solicitation,USDA NRCS-Ohio EWP Green Township - Blessing Road,"Patriot, Ohio",,,12FPC326B0003,,Total Small Business Set-Aside (FAR 19.5),2026-05-19T13:00:00-04:00,2026-05-18,237990,237990,012.12D0.12FPAC,2026-06-03,"AGRICULTURE, DEPARTMENT OF.FARM PRODUCTION AND CONSERVATION BUSINESS CENTER.FPAC BUS CNTR-ACQ DIV",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/61c1c115e72645fa896388ce49b09659/view,
Solicitation,RFQ 6923G226Q000016 Yocum Sailing removal & installation,"Kings Point, New York",,,6323G226Yocum,,Total Small Business Set-Aside (FAR 19.5),2026-05-26T14:00:00-04:00,2026-05-19,237120,237120,069.6938.693JF7,2026-12-12,"TRANSPORTATION, DEPARTMENT OF.MARITIME ADMINISTRATION.693JF7 DOT  MARITIME ADMINISTRATION",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/959f49eff3c24de6987410eb37827a40/view,
Solicitation,Z--REPLACE DAMAGED FIBER LINE,Not Specified,,"$45.0 million | $25,000",140P8526Q0053,,Total Small Business Set-Aside (FAR 19.5),2026-05-28T12:00:00-07:00,2026-05-18,237130,237130,014.1443.140P85,2026-06-12,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.PWR SF/SEA MABO(85000)",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/2081b3df81f9451cb4f8406f8d11c42c/view,
Solicitation,Fire Prevention System Inspection & Maintenance Services,"Lebanon, Kentucky",,,36C24926Q0222,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-05-29T17:00:00-04:00,2026-05-18,561210,561210,036.3600.36C249,2026-06-13,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.249-NETWORK CONTRACT OFFICE 9 (36C249)",,Solicitation,Yes,SDVOSBC,,OFFICE,https://sam.gov/workspace/contract/opp/8962dace88004f80a0eeba19d8279b93/view,
Solicitation,Z--NACE REVITALIZE PARK ACCESS POINTS,Not Specified,,,140P1326Q0024,,Total Small Business Set-Aside (FAR 19.5),2026-06-02T12:00:00-04:00,2026-05-19,237310,237310,014.1443.140P13,2026-06-17,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.IMR SANTA FE(12100)",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/2e9d817a9a3f47d4b691aaa73d71db2c/view,
Solicitation,"T-Rail Replacement With 3/8"" Safety Cable",Not Specified,,,89503426QWA001268,,Total Small Business Set-Aside (FAR 19.5),2026-06-05T16:30:00-05:00,2026-05-19,237130,237130,089.8900.895034,2026-06-20,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-UPPER GREAT PLAINS REGION",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/0eee78a8a97d47df954ce55c4c6c2fef/view,
Solicitation,656-26-702  EHRM DDPO 2.0,"Saint Cloud, Minnesota",,,36C26326B0028-0001,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-08T10:00:00-05:00,2026-05-19,238210,238210,036.3600.36C263,2026-12-31,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NETWORK CONTRACT OFFICE 23 (36C263)",,Presolicitation,Yes,SDVOSBC,,OFFICE,https://sam.gov/workspace/contract/opp/c01f679d078545f6913864c0f55675d4/view,
Solicitation,Apron Striping - Stratton Air National Guard Base,"Schenectady, New York",,,W50S8J26QA015,,Total Small Business Set-Aside (FAR 19.5),2026-06-09T12:00:00-04:00,2026-06-01,237310,237310,021.2100.NGB.JFHQ USPFO NY.USPFO NY PROC.W50S8J,2026-06-24,DEPT OF DEFENSE.DEPT OF THE ARMY.NATIONAL GUARD BUREAU.JFHQ USPFO NY.USPFO NY PROCUREMENT.W7NR USPFO ACTIVITY NYANG 109,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/ae4c17c4ffc247c4bea8aa397414204d/view,
Solicitation,Tainter Gates Sandblasting,"Del Rio, Texas",,$1 Million to $5 Million | $1 Million | $5 Million,191BWC26B0001,,Total Small Business Set-Aside (FAR 19.5),2026-07-06T12:00:00-06:00,2026-06-09,237990,237990,019.19BM.199401,2026-08-15,INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO.INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO.INTERNAT BOUNDARY AND WATER COMM,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/d8d9f472d3d64751940369dda58f5004/view,
Solicitation,618-26-702 EHRM Install DDPO 2,"Minneapolis, Minnesota",,,36C26326B0030-0002,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-09T10:00:00-05:00,2026-05-19,238210,238210,036.3600.36C263,2026-12-31,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NETWORK CONTRACT OFFICE 23 (36C263)",,Presolicitation,Yes,SDVOSBC,,OFFICE,https://sam.gov/workspace/contract/opp/b1c046961ee946d8a2e660e7f5adb13e/view,
Solicitation,"Bayou Teche, East and West Calumet Floodgate Approach Channels, Maintenance Dredging, St. Mary Parish, Louisiana ED 26-005","New Orleans, Louisiana",,"$500,000 | $1,000,000",W912P926BA072,,Total Small Business Set-Aside (FAR 19.5),2026-06-16T11:00:00-04:00,2026-05-22,237990,237990,021.2100.USACE.MVD.MVN.W912P8,2026-07-01,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION MISSISSIPPI VALLEY.ENDIST NEW ORLEANS.W07V ENDIST NEW ORLEANS,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/dc6f890d838b4d159ec1665968d95e3d/view,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/05cf66365f8047eb95b730e6da75fa75/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3720efb4b75c451bb017bb47ae5e1301/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4bc1eadb85684581a2e9daa69b726a54/download']"
Solicitation,SUISUN BAY CHANNEL AND NY SOLUGH FY26 MAINTENANCE DREDGING PROJECT,Not Specified,,"$1,000,000 and $5,000,000 | Estimated Cost Range is between $1,000,000 and $5,000,000 | $37,000,000",W912P726BA003,,Total Small Business Set-Aside (FAR 19.5),2026-06-17T11:30:00-07:00,2026-06-04,237990,237990,021.2100.USACE.SPD.SPN.W912P7,2026-07-02,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH PACIFIC.ENDIST SAN FRANCISCO.W075 ENDIST SAN FRAN,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/522487ae63ba46049d1dd062cb11e7af/view,
Solicitation,Robins AFB Paving Multi-Award IDIQ,"Warner Robins, Georgia",,$45M,FA850126R0004,,Total Small Business Set-Aside (FAR 19.5),2026-06-18T16:00:00-04:00,2026-05-26,237310,237310,057.5700.AFMC.AFSC.FA8501,2026-07-03,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE SUSTAINMENT CENTER.FA8501  OPL CONTRACTING AFSC/PZIO,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/761cde72114a49c9b85da8e49ea68d02/view,
Solicitation,Z--EO 14398 - GAOA - National Elk Refuge Electrical R,Not Specified,,,140FGA26Q0029,,Total Small Business Set-Aside (FAR 19.5),2026-06-18T14:00:00-04:00,2026-06-09,238210,238210,014.1448.140FGA,2026-07-03,"INTERIOR, DEPARTMENT OF THE.US FISH AND WILDLIFE SERVICE.FWS, GAOA",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/a7b98409a4674c759bf26474bc59fb49/view,
Solicitation,James River Maintenance Dredging IDIQ,Not Specified,,,W9123626BA007,,Total Small Business Set-Aside (FAR 19.5),2026-06-22T14:00:00-04:00,2026-05-19,237990,237990,021.2100.USACE.NAD.NAO.W91236,2026-07-07,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST NORFOLK.W2SD ENDIST NORFOLK,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/0c980ce1296d473f9d68e99a54e982c9/view,
Solicitation,NM DEXTER NFHTC POND LINER 12B & 13B,Not Specified,,,140FC326Q0025,,Total Small Business Set-Aside (FAR 19.5),2026-06-24T10:00:00-07:00,2026-05-18,237990,237990,014.1448.140FC3,2026-07-09,"INTERIOR, DEPARTMENT OF THE.US FISH AND WILDLIFE SERVICE.FWS, CONSTRUCTION A/E TEAM 3",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/a3756cc426fe4610b5308ea31603138a/view,
Special Notice,Notice of Intent to Award a BPA Call Order,Minnesota,,,,,Total Small Business Set-Aside (FAR 19.5),2026-06-08T17:00:00-05:00,2026-06-01,237310,237310,012.12C2.124455,2026-06-08,"AGRICULTURE, DEPARTMENT OF.FOREST SERVICE.USDA-FS, CSA EAST 13",,Special Notice,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/81d6d4c4e9bd49a69c2a81c1b4f051d6/view,
Presolicitation,Mud Mountain Dam Bridge Pier Repair,Not Specified,,"$1,000,000 and $5,000,000 | $1,000,000 | $5,000,000",W912DW26RA018,,Total Small Business Set-Aside (FAR 19.5),2026-06-01T12:00:00-07:00,2026-05-18,237990,237990,021.2100.USACE.NWD.NWS.W912DW,2026-06-06,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTHWESTERN.ENDIST SEATTLE.W071 ENDIST SEATTLE,,Presolicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/11ce6bf9e07a478f807afd76660882d3/view,
Presolicitation,Northeast Region Construction Multiple Award Task Order Contract (MATOC),Not Specified,,"$50,000 to $3,000,000 | $500,000 to $1,000,000 | $60,000,000.00",693C73-26-R-000047,,Total Small Business Set-Aside (FAR 19.5),2026-07-07T14:00:00-04:00,2026-05-18,237310,237310,069.6925.693C73,2026-10-31,"TRANSPORTATION, DEPARTMENT OF.FEDERAL HIGHWAY ADMINISTRATION.693C73 EASTERN FED LANDS DIVISION",,Presolicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/45e5705db00c431dac6738345b3d77f1/view,
Presolicitation,Z1DA--Replace Electrical Primary Distribution  515-15-117,"Battle Creek, MI",,"$10,000,000.00 and $20,000,000.00 | $19.0 million | $10,000,000.00",36C25025B0047,,Service-Disabled Veteran-Owned Small Business Set Aside,2025-09-30T14:00:00-04:00,2026-05-18,238210,238210,036.3600.36C250,2026-06-07,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.250-NETWORK CONTRACT OFFICE 10 (36C250)",{'awardee': {}},Presolicitation,Yes,SDVOSBC,,OFFICE,https://sam.gov/workspace/contract/opp/0333e63dfc1a45d791562d9cd85976f2/view,
Presolicitation,Z--SACRAMENTO RIVER TRAIL REPAVING GAOA,Not Specified,,"$1,000,000.00 and $5,000,000.00 | $1,000,000.00 | $5,000,000.00",140L1226R0005,,Total Small Business Set-Aside (FAR 19.5),2026-05-30T17:00:00-07:00,2026-05-15,237310,237310,014.1422.140L12,2026-06-14,"INTERIOR, DEPARTMENT OF THE.BUREAU OF LAND MANAGEMENT.CALIFORNIA STATE OFFICE",,Presolicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/01a493e50c0a47e897504ff06f1588f8/view,
Presolicitation,Z--READING ISLAND PAVING REPAIRS_REDDING,Not Specified,,"$500,000.00 and $1,000,000.00 | $500,000.00 | $1,000,000.00",140L1226R0006,,Total Small Business Set-Aside (FAR 19.5),2026-06-01T17:00:00-07:00,2026-05-15,237310,237310,014.1422.140L12,2026-06-16,"INTERIOR, DEPARTMENT OF THE.BUREAU OF LAND MANAGEMENT.CALIFORNIA STATE OFFICE",,Presolicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/59c2f930394948198e9da76f94b20a24/view,
Solicitation,"Drainage Basin Installation, Mansfield Hollow Dam, Mansfield, CT",Not Specified,,,W912WJ26QA113,,Total Small Business Set-Aside (FAR 19.5),2026-06-18T17:00:00-04:00,2026-06-03,237990,237990,021.2100.USACE.NAD.NAE.W912WJ,2026-07-03,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST NEW ENGLAND.W2SD ENDIST NEW ENGLAND,,Presolicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/d52dee2a355f4aa394d956cee5913a28/view,
Solicitation,Y--MI-SENEY NWR-DC DAM DECOMMISIONING,Not Specified,,,140FGA26R0021,,Total Small Business Set-Aside (FAR 19.5),2026-07-06T08:00:00-04:00,2026-06-07,237990,237990,014.1448.140FGA,2026-07-21,"INTERIOR, DEPARTMENT OF THE.US FISH AND WILDLIFE SERVICE.FWS, GAOA",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/79216c320abc48a8bf7e788446880ad7/view,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/951f952a751042ee878984f934939f99/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e95b9535b7af468aa1b18600d67e91a5/download']"
Solicitation,Stockbridge Parking Area and Roads,"Oneida, New York",,,FA875126Q0007,,Total Small Business Set-Aside (FAR 19.5),2026-06-04T15:00:00-04:00,2026-05-20,237310,237310,057.5700.AFMC.AFRL.FA8751,2026-06-19,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE RESEARCH LABORATORY.FA8751  AFRL RIKO,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/ba7c81427edd4e04b4522ea7fb6ff8e1/view,
Solicitation,Z--GAOA BAR ISLAND DAM RECONSTRUCTION,Not Specified,,,140L0626R0006,,Total Small Business Set-Aside (FAR 19.5),2026-06-08T14:00:00-06:00,2026-05-26,237990,237990,014.1422.140L06,2026-06-23,"INTERIOR, DEPARTMENT OF THE.BUREAU OF LAND MANAGEMENT.NATIONAL OPERATIONS CENTER",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/cd568153c48c4d18a5eeb34934e36dda/view,
Solicitation,61--Power System Generator replacements ,Not Specified,,,89503126QWA000404,,Total Small Business Set-Aside (FAR 19.5),2026-05-28T17:00:00-07:00,2026-05-21,238210,238210,089.8900.895031,2026-06-12,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-DESERT SOUTHWEST REGION",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/fd3ba844957e4659b7fa1254b18f115d/view,
